,age
2326,1992
2327,2004
2328,1989
2329,1994
2330,1992
2331,2006
2332,2002
2333,1987
2334,1989
2335,1986
2336,1984
2337,2007
2338,1993
2339,2005
2340,1994
2341,1987
2342,1989
2343,1963
2344,1984
2345,1988
2346,1977
2347,1972
2348,1979
