,age
2385,2003
2386,1999
2387,2006
2388,2004
2389,1998
2390,2001
2391,1992
2392,2005
2393,1997
2394,2003
2395,1998
2396,2004
2397,1969
2398,2001
2399,2004
2400,1995
2401,1996
2402,1977
2403,1993
2404,1996
2405,1993
2406,1997
2407,2001
2408,1976
2409,1971
2410,1997
2411,1997
2412,1996
2413,1992
2414,1995
2415,1999
2416,1990
2417,1995
2418,1996
2419,2000
2420,1983
2421,1994
2422,1993
2423,1995
2424,1991
2425,1990
2426,1999
2427,1999
2428,1993
2429,1996
2430,1997
2431,1982
2432,1998
2433,1995
2434,1997
2435,1935
2436,1983
2437,1998
2438,2009
2439,1989
2440,2000
2441,1992
2442,1992
2443,1988
2444,1984
2445,1996
2446,1991
2447,1994
2448,1987
2449,1994
2450,1997
2451,1985
2452,1991
2453,1983
2454,1995
2455,1994
2456,1992
2457,1994
2458,1994
2459,1993
2460,2008
2461,1995
2462,1991
2463,1987
2464,1988
2465,1989
2466,1986
2467,1975
2468,1997
2469,1992
2470,1993
2471,1993
2472,1962
2473,1987
2474,1991
2475,1992
2476,1992
2477,1987
2478,1991
2479,1987
2480,1989
2481,1989
2482,1983
2483,1992
2484,1991
2485,1983
2486,1989
2487,1946
2488,1988
2489,1991
2490,1981
2491,1989
2492,1988
2493,1988
2494,1989
2495,1958
